"SYMBOL 
","COMPANY 
","REGULATION 
","NAME OF THE ACQUIRER/DISPOSER 
","CATEGORY OF PERSON 
","TYPE OF SECURITY (PRIOR) 
","NO. OF SECURITY (PRIOR) 
","% SHAREHOLDING (PRIOR) 
","TYPE OF SECURITY (ACQUIRED/DISPLOSED) 
","NO. OF SECURITIES (ACQUIRED/DISPLOSED) 
","VALUE OF SECURITY (ACQUIRED/DISPLOSED) 
","ACQUISITION/DISPOSAL TRANSACTION TYPE 
","TYPE OF SECURITY (POST) 
","NO. OF SECURITY (POST) 
","% POST 
","DATE OF ALLOTMENT/ACQUISITION FROM 
","DATE OF ALLOTMENT/ACQUISITION TO 
","DATE OF INITMATION TO COMPANY 
","MODE OF ACQUISITION 
","DERIVATIVE TYPE SECURITY 
","DERIVATIVE CONTRACT SPECIFICATION 
","NOTIONAL VALUE(BUY) 
","NUMBER OF UNITS/CONTRACT LOT SIZE (BUY) 
","NOTIONAL VALUE(SELL) 
","NUMBER OF UNITS/CONTRACT LOT SIZE  (SELL) 
","EXCHANGE 
","REMARK 
","BROADCASTE DATE AND TIME 
","XBRL 
"
ASTRAL,Astral Limited,7(2),Hiranand Savlani HUF,Other,Equity Shares,138016,0.05,,25000,60702250,Sell,Equity Shares,113016,0.04,26-Jun-24,26-Jun-24,28-Jun-24,Market Sale,-,-,0,0,0,0,NSE,-,29-06-2024 16:18,https://nsearchives.nseindia.com/corporate/xbrl/IT_1167324_1167198_29062024041840_WEB.xml
OSWALSEEDS,ShreeOswal Seeds And Chemicals Limited,7(2),Sanjay Kumar Begani,-,Equity Shares,31828023,34.79,,39085,1093285,Sell,Equity Shares,31788938,34.75,26-Jun-24,26-Jun-24,29-Jun-24,Market Sale,-,-,0,0,0,0,NSE,-,29-06-2024 15:55,https://nsearchives.nseindia.com/corporate/xbrl/IT_1167317_1167148_29062024035534_WEB.xml
KRISHANA,Krishana Phoschem Limited,7(2),Kanchi Resort Private Limited,Promoter Group,Equity Shares,14001,0.02,,9160,2669802,Buy,Equity Shares,23161,0.04,27-Jun-24,28-Jun-24,29-Jun-24,Market Purchase,-,-,0,0,0,0,NSE,-,29-06-2024 15:28,https://nsearchives.nseindia.com/corporate/xbrl/IT_1167315_1167088_29062024032833_WEB.xml
DIVISLAB,Divi's Laboratories Limited,7(2),M. Visweswara Rao,Employees/Designated Employees,Equity Shares,39200,0.02,,200,926500,Sell,Equity Shares,39000,0.02,28-Jun-24,28-Jun-24,29-Jun-24,Market Sale,-,-,0,0,0,0,NSE,-,29-06-2024 15:25,https://nsearchives.nseindia.com/corporate/xbrl/IT_1167313_1167081_29062024032532_WEB.xml
NAHARPOLY,Nahar Poly Films Limited,7(2),NAHAR SPINNING MILLS LIMITED,Promoter Group,Equity Shares,4593177,18.68,,12000,2913430,Buy,Equity Shares,4605177,18.73,28-Jun-24,28-Jun-24,29-Jun-24,Market Purchase,-,-,0,0,0,0,"BSE,NSE",-,29-06-2024 15:20,https://nsearchives.nseindia.com/corporate/xbrl/IT_1167311_1167075_29062024032053_WEB.xml
ALPHAGEO,Alphageo (India) Limited,7(2),Anisha Alla,Promoter Group,Equity Shares,199000,3.13,,1000,390150,Sell,Equity Shares,198000,3.12,27-Jun-24,27-Jun-24,28-Jun-24,Market Sale,-,-,0,0,0,0,NSE,-,29-06-2024 15:14,https://nsearchives.nseindia.com/corporate/xbrl/IT_1167309_1167058_29062024031404_WEB.xml
ANDHRAPAP,ANDHRA PAPER LIMITED,7(2),West Coast Paper Mills Limited,Promoters,Equity Shares,28758400,72.31,,54200,30515142,Buy,Equity Shares,28812600,72.45,28-Jun-24,28-Jun-24,28-Jun-24,Market Purchase,-,-,0,0,0,0,NSE,-,29-06-2024 15:08,https://nsearchives.nseindia.com/corporate/xbrl/IT_1167307_1167048_29062024030853_WEB.xml
PGEL,PG Electroplast Limited,7(2),Ruchi Pramod Gupta,Immediate relative,Equity Shares,103735,0.4,,4265,14471336,Buy,Equity Shares,108000,0.41,27-Jun-24,27-Jun-24,28-Jun-24,Market Purchase,-,-,0,0,0,0,NSE,-,29-06-2024 15:06,https://nsearchives.nseindia.com/corporate/xbrl/IT_1167305_1167040_29062024030618_WEB.xml
KANANIIND,Kanani Industries Limited,7(2),HARSHIL PREMJIBHAI KANANI,Promoters,Equity Shares,59750402,30.2,,4455708,12256499,Sell,Equity Shares,55294694,27.95,28-Jun-24,28-Jun-24,29-Jun-24,Market Sale,-,-,0,0,0,0,NSE,-,29-06-2024 13:10,https://nsearchives.nseindia.com/corporate/xbrl/IT_1167301_1166932_29062024011012_WEB.xml
LINC,Linc Limited,7(2),DEEPAK JALAN,Promoters,Equity Shares,440302,2.96,,20000,0,Sell,Equity Shares,420302,2.83,27-Jun-24,27-Jun-24,28-Jun-24,Gift,-,-,0,0,0,0,NA,-,29-06-2024 12:52,https://nsearchives.nseindia.com/corporate/xbrl/IT_1167297_1166904_29062024125252_WEB.xml
LINC,Linc Limited,7(2),SURAJ MAL JALAN,Promoter Group,Equity Shares,Nil,0,,45000,0,Buy,Equity Shares,45000,0.3,27-Jun-24,28-Jun-24,28-Jun-24,Gift,-,-,0,0,0,0,NA,-,29-06-2024 12:52,https://nsearchives.nseindia.com/corporate/xbrl/IT_1167297_1166904_29062024125252_WEB.xml
LINC,Linc Limited,7(2),ALOKE JALAN,Promoters,Equity Shares,779921,5.24,,25000,0,Sell,Equity Shares,754921,5.08,28-Jun-24,28-Jun-24,28-Jun-24,Gift,-,-,0,0,0,0,NA,-,29-06-2024 12:52,https://nsearchives.nseindia.com/corporate/xbrl/IT_1167297_1166904_29062024125252_WEB.xml
HNDFDS,Hindustan Foods Limited,7(2),Sixth Sense India Opportunities II,Other,Equity Shares,10759,0.01,,10759,5701408,Sell,Equity Shares,Nil,0,28-Jun-24,28-Jun-24,28-Jun-24,Market Sale,-,-,0,0,0,0,NSE,-,29-06-2024 12:47,https://nsearchives.nseindia.com/corporate/xbrl/IT_1167296_1166895_29062024124710_WEB.xml
HNDFDS,Hindustan Foods Limited,7(2),Sixth Sense India Opportunities II,Other,Equity Shares,213080,0.19,,202321,102267589,Sell,Equity Shares,10759,0.01,27-Jun-24,27-Jun-24,28-Jun-24,Market Sale,-,-,0,0,0,0,NSE,-,29-06-2024 12:47,https://nsearchives.nseindia.com/corporate/xbrl/IT_1167296_1166895_29062024124710_WEB.xml
NATCOPHARM,Natco Pharma Limited,7(2),PULLAREDDY MUDDASANI,Employees/Designated Employees,Equity Shares,44600,0.02,,500,585315,Sell,Equity Shares,44100,0.02,28-Jun-24,28-Jun-24,29-Jun-24,Market Sale,-,-,0,0,0,0,NSE,-,29-06-2024 12:37,https://nsearchives.nseindia.com/corporate/xbrl/IT_1167293_1166876_29062024123726_WEB.xml
DIAMONDYD,Prataap Snacks Limited,7(2),Arvind Kumar Mehta,Promoters,Equity Shares,373301,1.56,,10517,9671468,Sell,Equity Shares,362784,1.52,27-Jun-24,28-Jun-24,29-Jun-24,Market Sale,-,-,0,0,0,0,NSE,-,29-06-2024 12:37,https://nsearchives.nseindia.com/corporate/xbrl/IT_1167292_1166874_29062024123712_WEB.xml
AGARWALFT,Agarwal Float Glass India Limited,7(2),UMA SHANKAR AGARWAL,Promoters,Equity Shares,4553473,62.86,,9000,578759,Sell,Equity Shares,4544473,62.74,28-Jun-24,28-Jun-24,29-Jun-24,Market Sale,-,-,0,0,0,0,NSE,-,29-06-2024 11:57,https://nsearchives.nseindia.com/corporate/xbrl/IT_1167286_1166839_29062024115737_WEB.xml
APOLLOHOSP,Apollo Hospitals Enterprise Limited,7(2),SUNEETA REDDY,Director,Equity Shares,4831695,3.36,,215000,1329900000,Pledge,Equity Shares,4831695,3.36,28-Jun-24,28-Jun-24,29-Jun-24,Pledge Creation,-,-,0,0,0,0,NA,-,29-06-2024 11:02,https://nsearchives.nseindia.com/corporate/xbrl/IT_1167284_1166798_29062024110210_WEB.xml
APOLLOHOSP,Apollo Hospitals Enterprise Limited,7(2),SUNEETA REDDY,Director,Equity Shares,4831695,3.36,,215000,1331400000,Pledge Revoke,Equity Shares,4831695,3.36,27-Jun-24,27-Jun-24,29-Jun-24,Revokation of Pledge,-,-,0,0,0,0,NA,-,29-06-2024 11:02,https://nsearchives.nseindia.com/corporate/xbrl/IT_1167284_1166798_29062024110210_WEB.xml
BAIDFIN,Baid Finserv Limited,7(2),AMAN BAID,Promoter Group,Equity Shares,4474490,3.73,,115000,2189600,Buy,Equity Shares,4589490,3.82,28-Jun-24,28-Jun-24,28-Jun-24,Market Purchase,-,-,0,0,0,0,NSE,-,29-06-2024 10:13,https://nsearchives.nseindia.com/corporate/xbrl/IT_1167282_1166781_29062024101341_WEB.xml
VASCONEQ,Vascon Engineers Limited,7(2),Tanaji Waman Atole,-,Equity Shares,491823,0.22,,83700,6214725,Sell,Equity Shares,408123,0.18,27-Jun-24,27-Jun-24,28-Jun-24,Market Sale,-,-,0,0,0,0,NSE,-,29-06-2024 00:23,https://nsearchives.nseindia.com/corporate/xbrl/IT_1167280_1166763_29062024122344_WEB.xml
VASCONEQ,Vascon Engineers Limited,7(2),Tanaji Waman Atole,-,Equity Shares,508097,0.23,,16274,1248215,Sell,Equity Shares,491823,0.22,26-Jun-24,26-Jun-24,28-Jun-24,Market Sale,-,-,0,0,0,0,NSE,-,29-06-2024 00:23,https://nsearchives.nseindia.com/corporate/xbrl/IT_1167280_1166763_29062024122344_WEB.xml
VASCONEQ,Vascon Engineers Limited,7(2),Tanaji Waman Atole,-,Equity Shares,418097,0.19,,90000,900000,Buy,Equity Shares,508097,0.23,21-May-24,21-May-24,28-Jun-24,ESOP,-,-,0,0,0,0,NA,-,29-06-2024 00:23,https://nsearchives.nseindia.com/corporate/xbrl/IT_1167280_1166763_29062024122344_WEB.xml
VASCONEQ,Vascon Engineers Limited,7(2),RATHIKA KARIAPPA,-,Equity Shares,42500,0.02,,17500,1299050,Sell,Equity Shares,25000,0.01,26-Jun-24,27-Jun-24,27-Jun-24,Market Sale,-,-,0,0,0,0,NSE,-,29-06-2024 00:18,https://nsearchives.nseindia.com/corporate/xbrl/IT_1167278_1166760_29062024121828_WEB.xml
VASCONEQ,Vascon Engineers Limited,7(2),Santosh Pawar,-,Equity Shares,253255,0.11,,2800,194096,Sell,Equity Shares,250455,0.11,11-Jun-24,11-Jun-24,28-Jun-24,Market Sale,-,-,0,0,0,0,NSE,-,29-06-2024 00:15,https://nsearchives.nseindia.com/corporate/xbrl/IT_1167276_1166757_29062024121515_WEB.xml
VASCONEQ,Vascon Engineers Limited,7(2),Santosh Pawar,-,Equity Shares,257755,0.12,,4500,293895,Sell,Equity Shares,253255,0.11,10-Jun-24,10-Jun-24,28-Jun-24,Market Sale,-,-,0,0,0,0,NSE,-,29-06-2024 00:15,https://nsearchives.nseindia.com/corporate/xbrl/IT_1167276_1166757_29062024121515_WEB.xml
VASCONEQ,Vascon Engineers Limited,7(2),Santosh Pawar,-,Equity Shares,187755,0.08,,70000,700000,Buy,Equity Shares,257755,0.12,21-May-24,21-May-24,28-Jun-24,ESOP,-,-,0,0,0,0,NA,-,29-06-2024 00:15,https://nsearchives.nseindia.com/corporate/xbrl/IT_1167276_1166757_29062024121515_WEB.xml
VASCONEQ,Vascon Engineers Limited,7(2),Santosh Pursram Sundararajan,-,Equity Shares,10578336,4.73,,187197,14256923,Sell,Equity Shares,10391139,4.64,26-Jun-24,26-Jun-24,27-Jun-24,Market Sale,-,-,0,0,0,0,NSE,-,29-06-2024 00:11,https://nsearchives.nseindia.com/corporate/xbrl/IT_1167274_1166754_29062024121103_WEB.xml
VASCONEQ,Vascon Engineers Limited,7(2),Jai Kumar Gupta,-,Equity Shares,15500,0.01,,15500,1139179,Sell,Equity Shares,Nil,0,27-Jun-24,28-Jun-24,28-Jun-24,Market Sale,-,-,0,0,0,0,NSE,-,29-06-2024 00:05,https://nsearchives.nseindia.com/corporate/xbrl/IT_1167272_1166751_29062024120558_WEB.xml
JSWSTEEL,JSW Steel Limited,7(2),JSW Steel Employees Welfare Trust ?  OPJ ESOP Plan 2021 A/c,Other,Equity Shares,8375888,0.35,,760,699003,Sell,Equity Shares,8375128,0.35,26-Jun-24,26-Jun-24,28-Jun-24,Market Sale,-,-,0,0,0,0,NA,-,28-06-2024 23:28,https://nsearchives.nseindia.com/corporate/xbrl/IT_1167270_1166735_28062024112807_WEB.xml
JSWSTEEL,JSW Steel Limited,7(2),JSW Steel Employees Welfare Trust ?  OPJ ESOP Plan 2021 A/c,Other,Equity Shares,8470395,0.35,,382,356908,Sell,Equity Shares,8470013,0.35,24-Jun-24,24-Jun-24,26-Jun-24,Market Sale,-,-,0,0,0,0,NSE,-,28-06-2024 23:28,https://nsearchives.nseindia.com/corporate/xbrl/IT_1167270_1166735_28062024112807_WEB.xml
JSWSTEEL,JSW Steel Limited,7(2),JSW Steel Employees Welfare Trust ?  JSWSL OPJ Samruddhi Plan 2021 A/c,Other,Equity Shares,8470013,0.35,,19,17751,Sell,Equity Shares,8469994,0.35,24-Jun-24,24-Jun-24,26-Jun-24,Market Sale,-,-,0,0,0,0,NSE,-,28-06-2024 23:28,https://nsearchives.nseindia.com/corporate/xbrl/IT_1167270_1166735_28062024112807_WEB.xml
JSWSTEEL,JSW Steel Limited,7(2),JSW Steel Employees Welfare Trust ?  ESOP Plan 2016 A/c,Other,Equity Shares,8469994,0.35,,1930,1789956,Sell,Equity Shares,8468064,0.35,25-Jun-24,25-Jun-24,27-Jun-24,Market Sale,-,-,0,0,0,0,NSE,-,28-06-2024 23:28,https://nsearchives.nseindia.com/corporate/xbrl/IT_1167270_1166735_28062024112807_WEB.xml
JSWSTEEL,JSW Steel Limited,7(2),JSW Steel Employees Welfare Trust ?  ESOP Plan 2016 A/c,Other,Equity Shares,8468064,0.35,,92176,19149205,Sell,Equity Shares,8375888,0.35,25-Jun-24,25-Jun-24,27-Jun-24,Off Market,-,-,0,0,0,0,NSE,-,28-06-2024 23:28,https://nsearchives.nseindia.com/corporate/xbrl/IT_1167270_1166735_28062024112807_WEB.xml
NEOGEN,Neogen Chemicals Limited,7(2),HARIDAS THAKARSHI KANANI,Promoters,Equity Shares,11900078,45.11,,1495000,2406721442,Sell,Equity Shares,10405078,39.44,28-Jun-24,28-Jun-24,28-Jun-24,Market Sale,-,-,0,0,0,0,NSE,-,28-06-2024 22:31,https://nsearchives.nseindia.com/corporate/xbrl/IT_1167268_1166710_28062024103101_WEB.xml
NAUKRI,Info Edge (India) Limited,7(2),Vijay Bhaskar Mantiri,Employees/Designated Employees,Equity Shares,2079,0,,1040,6921854,Sell,Equity Shares,1039,0,26-Jun-24,26-Jun-24,26-Jun-24,Market Sale,-,-,0,0,0,0,NSE,-,28-06-2024 22:24,https://nsearchives.nseindia.com/corporate/xbrl/IT_1167266_1166706_28062024102425_WEB.xml
NAUKRI,Info Edge (India) Limited,7(2),Prachal Manglani,Employees/Designated Employees,Equity Shares,1200,0,,200,1334000,Sell,Equity Shares,1000,0,24-Jun-24,26-Jun-24,28-Jun-24,Market Sale,-,-,0,0,0,0,NSE,-,28-06-2024 22:24,https://nsearchives.nseindia.com/corporate/xbrl/IT_1167266_1166706_28062024102425_WEB.xml
NAUKRI,Info Edge (India) Limited,7(2),Nishant Pandey,Employees/Designated Employees,Equity Shares,21000,0.02,,1000,6759915,Sell,Equity Shares,20000,0.02,27-Jun-24,27-Jun-24,27-Jun-24,Market Sale,-,-,0,0,0,0,NSE,-,28-06-2024 22:24,https://nsearchives.nseindia.com/corporate/xbrl/IT_1167266_1166706_28062024102425_WEB.xml
NAUKRI,Info Edge (India) Limited,7(2),Amit Kumar Singh,Employees/Designated Employees,Equity Shares,10821,0.01,,2000,13476946,Sell,Equity Shares,8821,0.01,26-Jun-24,27-Jun-24,27-Jun-24,Market Sale,-,-,0,0,0,0,NSE,-,28-06-2024 22:24,https://nsearchives.nseindia.com/corporate/xbrl/IT_1167266_1166706_28062024102425_WEB.xml
NAUKRI,Info Edge (India) Limited,7(2),Sumit Kumar Jaiswal,Employees/Designated Employees,Equity Shares,160,0,,160,1086080,Sell,Equity Shares,Nil,0,28-Jun-24,28-Jun-24,28-Jun-24,Market Sale,-,-,0,0,0,0,NSE,-,28-06-2024 22:24,https://nsearchives.nseindia.com/corporate/xbrl/IT_1167266_1166706_28062024102425_WEB.xml
NAUKRI,Info Edge (India) Limited,7(2),Puneet Verma,Employees/Designated Employees,Equity Shares,962,0,,400,2686500,Sell,Equity Shares,562,0,26-Jun-24,27-Jun-24,28-Jun-24,Market Sale,-,-,0,0,0,0,NSE,-,28-06-2024 22:24,https://nsearchives.nseindia.com/corporate/xbrl/IT_1167266_1166706_28062024102425_WEB.xml
NAUKRI,Info Edge (India) Limited,7(2),A A Raju,Employees/Designated Employees,Equity Shares,2426,0,,249,1683240,Sell,Equity Shares,2177,0,26-Jun-24,26-Jun-24,27-Jun-24,Market Sale,-,-,0,0,0,0,NSE,-,28-06-2024 22:24,https://nsearchives.nseindia.com/corporate/xbrl/IT_1167266_1166706_28062024102425_WEB.xml
NAUKRI,Info Edge (India) Limited,7(2),Amit Kumar Singh,Employees/Designated Employees,Equity Shares,8821,0.01,,1000,6800000,Sell,Equity Shares,7821,0.01,28-Jun-24,28-Jun-24,28-Jun-24,Market Sale,-,-,0,0,0,0,NSE,-,28-06-2024 22:24,https://nsearchives.nseindia.com/corporate/xbrl/IT_1167266_1166706_28062024102425_WEB.xml
NAUKRI,Info Edge (India) Limited,7(2),Alok Vij,Employees/Designated Employees,Equity Shares,718,0,,718,4864450,Sell,Equity Shares,Nil,0,28-Jun-24,28-Jun-24,28-Jun-24,Market Sale,-,-,0,0,0,0,NSE,-,28-06-2024 22:24,https://nsearchives.nseindia.com/corporate/xbrl/IT_1167266_1166706_28062024102425_WEB.xml
360ONE,360 ONE WAM LIMITED,7(2),Pawan Mundhra,Employees/Designated Employees,Equity Shares,176180,0.05,,16600,14607170,Sell,Equity Shares,159580,0.04,26-Jun-24,26-Jun-24,28-Jun-24,Market Sale,-,-,0,0,0,0,NSE,-,28-06-2024 22:06,https://nsearchives.nseindia.com/corporate/xbrl/IT_1167265_1166696_28062024100619_WEB.xml
360ONE,360 ONE WAM LIMITED,7(2),SHAJIKUMAR DEVAKAR,Employees/Designated Employees,Equity Shares,821171,0.22,,75000,69000000,Sell,Equity Shares,746171,0.21,27-Jun-24,27-Jun-24,28-Jun-24,Market Sale,-,-,0,0,0,0,NSE,-,28-06-2024 22:06,https://nsearchives.nseindia.com/corporate/xbrl/IT_1167265_1166696_28062024100619_WEB.xml
360ONE,360 ONE WAM LIMITED,7(2),SHAJIKUMAR DEVAKAR,Employees/Designated Employees,Equity Shares,846171,0.23,,25000,21944000,Sell,Equity Shares,821171,0.22,26-Jun-24,26-Jun-24,28-Jun-24,Market Sale,-,-,0,0,0,0,NSE,-,28-06-2024 22:06,https://nsearchives.nseindia.com/corporate/xbrl/IT_1167265_1166696_28062024100619_WEB.xml
360ONE,360 ONE WAM LIMITED,7(2),SHAJIKUMAR DEVAKAR,Employees/Designated Employees,Equity Shares,1178268,0.32,,332097,282282450,Sell,Equity Shares,846171,0.23,25-Jun-24,25-Jun-24,27-Jun-24,Market Sale,-,-,0,0,0,0,NSE,-,28-06-2024 22:06,https://nsearchives.nseindia.com/corporate/xbrl/IT_1167265_1166696_28062024100619_WEB.xml
360ONE,360 ONE WAM LIMITED,7(2),Sumit Vohra,Employees/Designated Employees,Equity Shares,97416,0.02,,1000,1030000,Sell,Equity Shares,96416,0.02,28-Jun-24,28-Jun-24,28-Jun-24,Market Sale,-,-,0,0,0,0,NSE,-,28-06-2024 22:06,https://nsearchives.nseindia.com/corporate/xbrl/IT_1167265_1166696_28062024100619_WEB.xml
360ONE,360 ONE WAM LIMITED,7(2),Sumit Vohra,Employees/Designated Employees,Equity Shares,99416,0.02,,2000,1862960,Sell,Equity Shares,97416,0.02,27-Jun-24,27-Jun-24,28-Jun-24,Market Sale,-,-,0,0,0,0,NSE,-,28-06-2024 22:06,https://nsearchives.nseindia.com/corporate/xbrl/IT_1167265_1166696_28062024100619_WEB.xml
360ONE,360 ONE WAM LIMITED,7(2),Anirudha Taparia,Employees/Designated Employees,Equity Shares,1509733,0.42,,100000,93487000,Sell,Equity Shares,1409733,0.39,27-Jun-24,27-Jun-24,28-Jun-24,Market Sale,-,-,0,0,0,0,NSE,-,28-06-2024 22:06,https://nsearchives.nseindia.com/corporate/xbrl/IT_1167265_1166696_28062024100619_WEB.xml
360ONE,360 ONE WAM LIMITED,7(2),Sumit Vohra,Employees/Designated Employees,Equity Shares,101632,0.02,,2216,1922360,Sell,Equity Shares,99416,0.02,19-Jun-24,26-Jun-24,28-Jun-24,Market Sale,-,-,0,0,0,0,NSE,-,28-06-2024 22:06,https://nsearchives.nseindia.com/corporate/xbrl/IT_1167265_1166696_28062024100619_WEB.xml
360ONE,360 ONE WAM LIMITED,7(2),Shubh Agarwal,Employees/Designated Employees,Equity Shares,2400,0,,1600,1497600,Sell,Equity Shares,800,0,27-Jun-24,27-Jun-24,28-Jun-24,Market Sale,-,-,0,0,0,0,NSE,-,28-06-2024 22:06,https://nsearchives.nseindia.com/corporate/xbrl/IT_1167265_1166696_28062024100619_WEB.xml
360ONE,360 ONE WAM LIMITED,7(2),Anup Maheshwari,Employees/Designated Employees,Equity Shares,96434,0.03,,30000,30618696,Sell,Equity Shares,66434,0.02,28-Jun-24,28-Jun-24,28-Jun-24,Market Sale,-,-,0,0,0,0,NSE,-,28-06-2024 22:06,https://nsearchives.nseindia.com/corporate/xbrl/IT_1167265_1166696_28062024100619_WEB.xml
360ONE,360 ONE WAM LIMITED,7(2),Anup Maheshwari,Employees/Designated Employees,Equity Shares,106434,0.03,,10000,9349550,Sell,Equity Shares,96434,0.03,27-Jun-24,27-Jun-24,28-Jun-24,Market Sale,-,-,0,0,0,0,NSE,-,28-06-2024 22:06,https://nsearchives.nseindia.com/corporate/xbrl/IT_1167265_1166696_28062024100619_WEB.xml
360ONE,360 ONE WAM LIMITED,7(2),JITENDRA CHANDWANI,Employees/Designated Employees,Equity Shares,10200,0,,10000,9290138,Sell,Equity Shares,200,0,27-Jun-24,27-Jun-24,28-Jun-24,Market Sale,-,-,0,0,0,0,NSE,-,28-06-2024 22:06,https://nsearchives.nseindia.com/corporate/xbrl/IT_1167265_1166696_28062024100619_WEB.xml
360ONE,360 ONE WAM LIMITED,7(2),JITENDRA CHANDWANI,Employees/Designated Employees,Equity Shares,20200,0.01,,10000,8800000,Sell,Equity Shares,10200,0,26-Jun-24,26-Jun-24,28-Jun-24,Market Sale,-,-,0,0,0,0,NSE,-,28-06-2024 22:06,https://nsearchives.nseindia.com/corporate/xbrl/IT_1167265_1166696_28062024100619_WEB.xml
360ONE,360 ONE WAM LIMITED,7(2),Prabhjot Cheema,Employees/Designated Employees,Equity Shares,105856,0.03,,5000,4420000,Sell,Equity Shares,100856,0.03,26-Jun-24,26-Jun-24,28-Jun-24,Market Sale,-,-,0,0,0,0,NSE,-,28-06-2024 22:06,https://nsearchives.nseindia.com/corporate/xbrl/IT_1167265_1166696_28062024100619_WEB.xml
360ONE,360 ONE WAM LIMITED,7(2),Pawan Mundhra,Employees/Designated Employees,Equity Shares,159580,0.04,,15000,13773900,Sell,Equity Shares,144580,0.04,27-Jun-24,27-Jun-24,28-Jun-24,Market Sale,-,-,0,0,0,0,NSE,-,28-06-2024 22:06,https://nsearchives.nseindia.com/corporate/xbrl/IT_1167265_1166696_28062024100619_WEB.xml
360ONE,360 ONE WAM LIMITED,7(2),Vishal Khanna,Employees/Designated Employees,Equity Shares,26352,0.01,,3000,2597020,Sell,Equity Shares,23352,0.01,19-Jun-24,26-Jun-24,28-Jun-24,Market Sale,-,-,0,0,0,0,NSE,-,28-06-2024 22:06,https://nsearchives.nseindia.com/corporate/xbrl/IT_1167265_1166696_28062024100619_WEB.xml
360ONE,360 ONE WAM LIMITED,7(2),Viral Shah,Employees/Designated Employees,Equity Shares,5000,0,,5000,5053533,Sell,Equity Shares,Nil,0,28-Jun-24,28-Jun-24,28-Jun-24,Market Sale,-,-,0,0,0,0,NSE,-,28-06-2024 22:06,https://nsearchives.nseindia.com/corporate/xbrl/IT_1167265_1166696_28062024100619_WEB.xml
360ONE,360 ONE WAM LIMITED,7(2),Viral Shah,Employees/Designated Employees,Equity Shares,10000,0,,5000,4495000,Sell,Equity Shares,5000,0,27-Jun-24,27-Jun-24,28-Jun-24,Market Sale,-,-,0,0,0,0,NSE,-,28-06-2024 22:06,https://nsearchives.nseindia.com/corporate/xbrl/IT_1167265_1166696_28062024100619_WEB.xml
360ONE,360 ONE WAM LIMITED,7(2),Shikhar Prabhakar,Employees/Designated Employees,Equity Shares,24515,0.01,,3000,2795430,Sell,Equity Shares,21515,0.01,27-Jun-24,27-Jun-24,28-Jun-24,Market Sale,-,-,0,0,0,0,NSE,-,28-06-2024 22:06,https://nsearchives.nseindia.com/corporate/xbrl/IT_1167265_1166696_28062024100619_WEB.xml
360ONE,360 ONE WAM LIMITED,7(2),Shikhar Prabhakar,Employees/Designated Employees,Equity Shares,31515,0.01,,7000,6102130,Sell,Equity Shares,24515,0.01,06-Jun-24,26-Jun-24,28-Jun-24,Market Sale,-,-,0,0,0,0,NSE,-,28-06-2024 22:06,https://nsearchives.nseindia.com/corporate/xbrl/IT_1167265_1166696_28062024100619_WEB.xml
360ONE,360 ONE WAM LIMITED,7(2),Meer Thakker,Employees/Designated Employees,Equity Shares,71644,0.02,,2000,1855000,Sell,Equity Shares,69644,0.02,27-Jun-24,27-Jun-24,27-Jun-24,Market Sale,-,-,0,0,0,0,NSE,-,28-06-2024 22:06,https://nsearchives.nseindia.com/corporate/xbrl/IT_1167265_1166696_28062024100619_WEB.xml
360ONE,360 ONE WAM LIMITED,7(2),Meer Thakker,Employees/Designated Employees,Equity Shares,78804,0.02,,7160,6287053,Sell,Equity Shares,71644,0.02,26-Jun-24,26-Jun-24,27-Jun-24,Market Sale,-,-,0,0,0,0,NSE,-,28-06-2024 22:06,https://nsearchives.nseindia.com/corporate/xbrl/IT_1167265_1166696_28062024100619_WEB.xml
360ONE,360 ONE WAM LIMITED,7(2),Shikhar Prabhakar,Employees/Designated Employees,Equity Shares,21515,0.01,,2000,2050000,Sell,Equity Shares,19515,0.01,28-Jun-24,28-Jun-24,28-Jun-24,Market Sale,-,-,0,0,0,0,NSE,-,28-06-2024 22:06,https://nsearchives.nseindia.com/corporate/xbrl/IT_1167265_1166696_28062024100619_WEB.xml
360ONE,360 ONE WAM LIMITED,7(2),ASHISH AHUJA,Employees/Designated Employees,Equity Shares,224468,0.06,,159027,163151910,Sell,Equity Shares,65441,0.02,28-Jun-24,28-Jun-24,28-Jun-24,Market Sale,-,-,0,0,0,0,NSE,-,28-06-2024 22:06,https://nsearchives.nseindia.com/corporate/xbrl/IT_1167265_1166696_28062024100619_WEB.xml
M&M,Mahindra & Mahindra Limited,7(2),Mr. Satish Karandikar,Employees/Designated Employees,Equity Shares,22195,0,,1613,4634010,Sell,Equity Shares,20582,0,28-Jun-24,28-Jun-24,28-Jun-24,Market Sale,-,-,0,0,0,0,BSE,-,28-06-2024 20:48,https://nsearchives.nseindia.com/corporate/xbrl/IT_1167263_1166659_28062024084853_WEB.xml
M&M,Mahindra & Mahindra Limited,7(2),Hemant H Thopte,Employees/Designated Employees,Equity Shares,502,0,,502,1450740,Sell,Equity Shares,Nil,0,24-Jun-24,24-Jun-24,28-Jun-24,Market Sale,-,-,0,0,0,0,NSE,-,28-06-2024 20:48,https://nsearchives.nseindia.com/corporate/xbrl/IT_1167263_1166659_28062024084853_WEB.xml
